"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3"
"ABCC3",32.0130155678225,34.3370378942593,33.6904781203555,22.6417493160971,24.1754626016872,24.3102026302352,32.9237649934713,31.2619798943003,32.9113654441201,21.456035544416,21.8438752492209,24.2495147250391
"ABCC4",30.6612595485378,30.6970099396651,31.8409470287106,24.5438253320729,24.4430382807318,24.756657773326,31.5903181440489,33.1561933707202,31.378999016143,25.5161296066781,26.9147748606471,24.6574504867687
"ABCC5",34.6199736050145,33.531870420432,36.2471828646882,33.4906273331442,31.0120212012788,33.5705464046673,35.2194930744357,34.8415959127316,37.3842188014586,33.5270075064491,31.2055360703155,33.390297534166
"ABCC9",144.487698950212,130.43713076002,120.709102716473,135.343275625656,140.597640554029,124.157735115674,122.635869522654,126.673661852239,126.606599197997,123.879716138175,127.537626025842,130.917162051379
"ABCD1",2.47821936868867,2.49937403333886,2.55670474433268,2.01479163173732,1.76599948169491,1.56979389022254,2.74937494726274,2.99792841543624,2.38828281117147,1.70211635687143,1.47026083408217,1.96413514906859
"ABCD3",40.5419523561666,35.9473728419139,36.6279686776739,45.0439779487009,46.7187135612017,43.536577340759,36.9790930406838,37.9737599288591,37.9502280226032,42.224978247526,43.7927691294476,42.2289057049746
"ABCD4",10.4922014830196,10.1652393570694,10.6076047903165,10.3839261020308,10.1946333716024,11.1901821348891,10.6263341711705,10.7090179218071,11.6929222026719,10.5718603082748,10.9219376246104,10.9840481028682
"ABCE1",132.289710109524,124.482246318172,121.688266235579,146.840268433331,154.003182074168,141.641494590263,129.674269387647,135.950833366673,133.619591499009,151.019883369757,161.728691749039,151.827647023002
"ABCF1",82.8004202923773,84.5258104294932,86.8010327029827,84.578980177057,75.4964778424574,85.1145127634421,88.7635701723775,84.8070695033357,85.5640281135303,91.7893572999105,86.6403705798424,84.6391161929401
"ABCF2",88.4541934841476,89.8097219764848,92.7304117909032,97.4003814699309,90.3469280294374,93.9284013947833,100.036007456155,97.7235173031754,96.5114747566458,108.841752361411,102.813239754746,100.820568074882
"ABCF3",31.0796602211735,32.2570219202055,33.3096923073698,30.7431841989569,29.5537337504853,32.6776361184856,34.1747305944758,31.7243469633477,32.7180940027536,33.1834610857962,32.1206984262238,31.5319235085088
"ABCG1",3.04681515457828,3.01937802685231,2.68363334866126,5.31172339276204,5.99369521060091,5.7031044085149,3.72540305354101,3.17690921635781,3.28561450323011,5.34058526651402,5.85103801318416,6.27012374510356
"ABCG2",6.49057453704176,5.98843308659041,5.96564440344293,4.64951915016306,5.31137722903697,5.19904215018656,5.97989051029645,6.14500749830712,5.38399015235186,5.38743250569396,5.40095816601615,5.10675138757832
"ABHD10",15.2340757728914,14.4426915617769,14.3429322891288,14.9348190884025,14.7166623474576,14.7906268372344,13.3757091184332,13.6174559367825,13.8879335724768,14.3196394426706,14.2375258320815,14.7612310818462
"ABHD11",15.6739328902777,17.2272290754296,16.7364431136104,12.1310181463345,12.7633598904314,13.0624133801086,15.4652340783529,15.496754346459,17.0907174579785,13.5232363766115,12.917291613722,12.1927466561411
"ABHD12",21.8963018679376,20.0453152338251,21.8317199445146,21.8809189097067,21.0180695889599,22.0635251359718,23.7271057948774,21.9400631796354,22.4056820955566,22.049433907362,22.2039391269553,22.1494009887273
"ABHD13",13.8286786417303,11.7923486270954,12.348339935394,14.3289726536843,16.5896921007704,13.5952791960557,12.5234028847818,12.797127265892,12.452202865183,13.1796899559586,14.3275418015151,15.0029707925008
"ABHD14A",2.1992855869315,2.58324564519586,2.23031690463064,1.94434437188637,2.00681759283513,2.18907037902592,2.35071557990964,2.11793947757187,1.6842225604793,1.90512105998453,1.89033535810565,1.4806557277594
"ABHD14B",15.9421384496596,16.4891588910879,16.1743307230124,18.3444664651888,19.198554971456,19.31278538338,15.8089059467607,14.6913407423119,14.3987223818025,15.3034314654495,14.9126456028335,16.7555836947466
"ABHD15",15.4593684427722,15.6672170948892,15.6847489634594,11.8069607510201,12.1345570446764,13.1056187165368,15.1765497088903,14.7211708757989,13.5704162045176,11.5868838238404,12.2121665198254,11.0142655667
"ABHD16A",13.5604730823484,13.3691349300072,13.7445545830083,13.7653945748767,12.7098447546225,13.4368596291525,13.8705966089405,13.6025408700391,12.7006947183685,13.2890001807118,13.2173448451673,13.5223150647414
