"","logFC","logCPM","F","PValue","FDR"
"ZC3H12A",2.39680393351849,6.30381453860633,7260.06624211599,2.62675359685048e-23,3.61520097534532e-19
"CXCL1",2.62074555912992,5.24133092893133,2719.87237050789,8.59013925771926e-20,5.91130433019951e-16
"TFRC",1.04079006267548,7.05057665075658,1781.05355520971,2.78174247532554e-18,1.25646563478927e-14
"NFKBIZ",2.25429751358024,6.07121739725464,1722.91538127777,3.65172022026962e-18,1.25646563478927e-14
"SPRR2A",4.44328570198133,4.54663584539833,1531.45604180923,9.58714836546888e-18,2.63895845907896e-14
"C3",2.81921230605476,2.55664755243192,1447.22961097679,1.52340149071549e-17,3.49442911945289e-14
"ALDH1A3",0.765608568781419,6.28861366172023,1232.77523879651,5.65414350507901e-17,1.11168538657718e-13
"CSF3",3.77506709352862,0.968121677810709,1012.99927653736,2.80591798303804e-16,4.82723115006907e-13
"DEFB4A",7.07183805194043,0.49760260415574,926.529757583899,5.80162294808042e-16,8.87197073715898e-13
"SAA1",3.1422763051069,2.92464198615403,885.552422162215,8.38129086717708e-16,1.15351706204958e-12
"SPRR2B",3.56030907174215,2.2023348562777,807.831362985101,1.7674583984835e-15,2.21141181257531e-12
"SPRR2D",2.09028513719878,6.17145153064048,776.258582261907,2.44237891918683e-15,2.80120508873069e-12
"IER3",0.742149149431394,8.09947015777344,758.421651617151,2.94893086228376e-15,3.12201041981626e-12
"IL36G",3.71752773005169,2.29565662369906,712.406819966533,4.89617182337441e-15,4.81328662893586e-12
"S100A7",3.47327190595218,1.42224713775423,613.320502056858,1.64240938284516e-14,1.48772776827563e-11
"CXCL5",2.52237669005942,1.49040590135207,609.402895364943,1.72953892991426e-14,1.48772776827563e-11
"IL1B",1.06191076482455,4.95268770227115,589.409694611393,2.26325587547733e-14,1.83230533024673e-11
"SOX7",0.740778329319504,4.44610875724987,563.160167647912,3.26655493150318e-14,2.49764419568212e-11
"PDZK1IP1",4.60689179111519,-0.0075049826627596,554.773531363137,3.68579081890414e-14,2.66987047581988e-11
"CXCL3",2.08954680306763,2.35836914915764,545.794427085467,4.2027901022266e-14,2.89215000884723e-11
"SERPINE2",-0.531875256128841,8.02329570330174,540.567355636758,4.54093198707068e-14,2.97604033038352e-11
"KRT75",0.795131552974965,4.97131110150777,509.379173662139,7.31945001061272e-14,4.57898138618468e-11
"HAS3",0.643699059590627,5.56598750957479,483.544776695647,1.11114695122321e-13,6.64900673464569e-11
"POU2F2",0.745078048139458,5.5941026614367,444.108962372385,2.19510211424131e-13,1.2587995999293e-10
"PI3",2.11506777666518,6.16694620239354,402.115364932894,4.84848004882908e-13,2.66918523648139e-10
"RHCG",2.15366362864038,5.01545746051199,371.668794750055,9.06779138819395e-13,4.71613371551912e-10
"EHF",0.693540803907282,7.00795072901434,370.728325305702,9.2520242911441e-13,4.71613371551912e-10
"PHACTR3",-0.846078783181937,3.97382921307742,364.274330565566,1.06356133968031e-12,5.22778382786435e-10
"EDN1",0.586850848569544,5.10428522214925,359.656487541407,1.17680180979697e-12,5.5849390718054e-10
"CXCL2",1.33528182667095,3.45646948960143,338.622309505187,1.89647070472056e-12,8.70037543635638e-10
