"","fpool2_eGFPorf_TNF_1h1","fpool2_eGFPorf_TNF_1h2","fpool2_eGFPorf_TNF_1h3","fpool_eGFPorf_TNF_1h1","fpool_eGFPorf_TNF_1h2","fpool_eGFPorf_TNF_1h3","fpool2_TNFAIP3orf_TNF_1h1","fpool2_TNFAIP3orf_TNF_1h2","fpool2_TNFAIP3orf_TNF_1h3","fpool_TNFAIP3orf_TNF_1h1","fpool_TNFAIP3orf_TNF_1h2","fpool_TNFAIP3orf_TNF_1h3"
"A2ML1",79.61249807882,72.2186312715017,71.0676995776589,134.845526197239,128.330323320186,127.668102385636,87.2003235472591,86.7632209918763,88.7845910540613,117.694470314224,116.860037376306,115.397016087275
"A4GALT",9.37876519113234,9.86078549971716,9.76076972616636,13.7154184874769,13.7237178966976,14.5037005667745,9.24909586293495,8.56967722702904,8.52821632796747,12.299328095609,12.0223696762254,11.7880077588587
"AAAS",29.9994596650582,29.7781041021235,29.8633073764852,28.8830577559807,30.6478285044828,30.8064819082945,34.6365318323901,32.6409483713951,33.6050783854718,31.2532982766937,31.9005115957604,30.9075813189587
"AACS",61.7110160629943,58.6264070901298,60.0171138519634,53.632871750577,53.3868899364813,53.3505187770176,53.0662117370531,51.1006679093213,51.9635288014018,47.4817705558268,49.2830352612054,48.0799119122406
"AADACL2-AS1",1.08264940461393,1.07661181634629,1.10389657617358,1.30327505989599,0.99808857430528,0.844013202966972,0.997227619789694,1.24419017518348,1.19785633919543,0.940781001688875,0.976546273339604,0.771055939880998
"AADAT",6.86097587807668,6.66765272623555,6.46069996160535,6.57843601661787,6.91067849817895,5.91919785764995,7.1328418300988,6.86843759973735,6.90069412797367,5.96289134893978,6.53200951722713,6.01162258212304
"AAED1",7.72961319108088,8.62512875595607,7.63431632153726,6.28054457435592,6.35739026677059,6.19683377967856,7.71899852264694,7.83331977641025,8.43707508476781,7.45707293985741,6.95517956900763,7.26622207752263
"AAGAB",41.5812905051143,40.1037901588993,39.2057584001015,44.8450742038497,45.2611470869742,44.1663224763112,38.2676583563572,41.1852339621959,38.7220081822523,46.5963296130608,49.0117724074999,46.9429311195347
"AAK1",101.064063026054,99.5988272372176,99.8503503058899,101.419623946763,96.0985716434366,98.8717045528283,102.349048458568,102.366381454126,100.724093913216,97.6752039988744,98.2839571545571,98.3815104309179
"AAMDC",2.14012091609731,2.34897123566463,2.14969333254854,2.28383439067488,2.2999432364426,2.12113844429858,2.44358828971368,2.14559326128579,2.03114770559225,2.13059226853069,2.26775745697753,1.75121179566193
"AAMP",68.4964582616793,67.1536620445999,68.1859485156478,74.1625569797957,77.8183624292584,75.1060696271794,72.9879268591113,70.4490947152358,72.4442681661236,77.8772979192159,75.5521300140407,77.1448002223311
"AAR2",25.3541383824705,25.4104857108096,26.1797788012533,25.2587118751271,25.8309662545747,25.4314504578206,29.0109500688437,27.3087047634659,27.7069379326943,27.0889588427473,27.3324451393607,27.3659514934036
"AARS",152.955700768131,155.790623515382,154.336361313026,137.265894165617,142.455446404376,137.440886841043,125.003624004325,120.673751174683,122.181346597934,93.2895043292366,90.8730559913243,89.0765641733709
"AARS2",35.8659087644779,36.8984231602319,36.846905716278,38.1673410398112,37.8405755127915,38.2027028711366,39.4323593168749,36.4369979875161,37.498111487857,35.5698228726779,34.721645274297,34.1224925259201
"AARSD1",14.6787116951145,15.5986371118355,14.6876344450884,16.5826236192481,18.3236043695828,17.3577978452287,15.8110058496427,15.6031604622499,15.9497175599392,15.8549268814037,16.8725495004787,16.3359309296822
"AASDH",9.03886363386983,9.40811916784429,9.74914976220664,11.7170633956363,12.3133753460488,11.2942293081238,8.92176160605741,9.78847576598428,9.47868929276384,11.3308770644587,11.8270604215574,10.847058137309
"AASDHPPT",30.2134717566679,31.5153640785005,30.4791654663504,31.5640807363382,31.4072437240629,31.8503929751221,28.736902784016,31.2824958331845,29.5818435070872,33.0380151769564,35.6439389768956,35.2725420633697
"AASS",35.2616393293445,34.3537043215953,32.6056188709795,26.8847026641402,25.5597465332961,27.308269290734,33.8372272516427,32.7171232800798,32.3811816910765,20.6556769929631,20.5074717401317,19.5900483708749
"AATBC",2.70662351153484,2.9851509453238,2.89337102597074,6.62808459032819,5.66306778029735,5.74151086755164,3.01452013310472,2.90734234813282,3.24202422238763,4.38569966963785,4.28595308854604,4.48257944710479
"AATF",55.2151196353107,53.1454742069123,56.438164952369,56.2766583006517,56.3052141374392,55.6271333376522,62.6502542814441,60.3305276782845,61.9760453757636,59.6980885630514,60.969038998836,59.5019948182743
"AATK",1.0448825649181,1.60268349933368,1.08065664825413,1.25362648618567,0.943844630049558,1.36596873638076,0.875428826532937,0.78714072307526,1.05463438559598,0.636410677613063,0.618479306448416,0.98015585578093
"ABALON",13.8730191149367,14.8156466999472,16.7443680659592,15.9123678741587,15.7741389895639,18.2795491063636,13.9459618278986,13.3560006560512,13.9576303871468,13.6551595392194,13.8235550248295,13.6176320229831
"ABAT",12.5134128858866,13.3597739028426,13.3745785176399,12.1639005590293,12.2157362463885,11.8050794046565,12.5300508562888,12.1245062989818,12.069704635154,13.3922942593358,12.5974469260809,11.9840389300148
"ABCA1",69.8812423838599,72.8548109811609,73.194152982288,36.0448645136949,35.6599689537115,34.6711739429327,74.137402970472,76.4161292288708,74.3321939181164,29.7729517005068,29.8823159641919,29.914356718434
"ABCA11P",5.70279279407107,5.51763555877474,6.60013952912201,6.44190243891448,6.56351725494233,6.91868717695294,5.62558176354644,5.54807251586917,4.96068766558108,6.87600232116722,6.70561774359862,6.87415973521026
"ABCA12",42.2736825662046,35.8829824698144,34.4415731766156,83.1985973950746,84.5120651504145,81.9025969984397,37.2552058874104,37.9351045249819,38.526705518253,72.9243626456186,76.0187021224141,69.7740281868585
"ABCA13",1.47290674813756,1.70055730081971,2.04511365691105,1.87423365756471,1.67071348307623,1.31044155197504,1.57577188775929,1.86628526277521,1.9920871727924,1.20364628157253,0.954845245043169,1.17618702693712
"ABCA2",4.53202076350019,3.98835741055558,3.9856476381846,3.67399445456394,3.23293907764102,3.46489630691704,4.27057018856502,4.46892797616922,4.30967878558356,6.4194468350535,6.5103084889307,6.66505981931032
"ABCA5",17.5993472982591,18.5837880571593,17.5345256152203,16.3716171809792,14.6241673713426,15.4143463910284,12.9258969343733,13.6733961089041,13.5409847039483,11.3032070349972,11.1217770019233,11.4482203955213
