"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_eGFPorf_TNF_24h1","fpool2_eGFPorf_TNF_24h2","fpool2_eGFPorf_TNF_24h3","fpool_eGFPorf_TNF_24h1","fpool_eGFPorf_TNF_24h2","fpool_eGFPorf_TNF_24h3"
"A1BG-AS1",1.42685357591166,1.86194978322559,1.6863371717939,0.662204242598981,0.990030012465329,0.734490719278434,1.75334147073645,1.55660945457507,1.84535931435497,0.937417099395737,0.872098422000412,0.629815066638903
"A2ML1",63.5861740182587,59.0623890697054,51.6780746194904,107.403892368767,98.9361073267717,101.662156615421,133.134792646891,118.85990999412,107.581885027847,175.589940430564,176.26078106875,179.259363855801
"A4GALT",13.1206159649621,13.654298410321,13.4362994010675,13.9203785465488,13.5125717917565,13.5376720808182,18.5888241363515,18.0287901007501,19.4019027912043,17.4154520497114,19.0892654593424,18.7125054243603
"AAAS",29.9102839822685,31.737017926692,33.2008963608025,33.1806593898,31.5605513433204,33.5273410682391,29.0067365644166,28.704343001903,31.0251034725929,28.854870090775,30.2604309602048,31.4907533319451
"AACS",56.8703068113361,58.0056067603071,58.6228825420395,48.7635932688313,46.5180318019182,48.6924141545174,65.8098847171564,63.8326041260448,64.702910959571,52.0705904429976,49.5573389009758,52.6385436806425
"AADACL2-AS1",1.34102779690945,1.59356062528316,1.43247996313675,0.831277666241274,0.842863388990753,0.662481825231529,1.63418234165727,1.52175998917414,1.26868452861904,1.31824279602526,1.06589807133384,1.021699996992
"AADAT",7.40247343894019,7.07876404073152,6.83601197598172,6.84747365751286,6.8499373835439,7.04246983778734,7.18359321020175,6.79564575318221,6.88165244311539,6.95739253457774,6.72761639828889,6.96995340413719
"AAED1",8.55039323309468,8.8232935673573,8.93940027628378,6.05846434718216,6.51546778473804,6.840844934456,9.17525293909655,9.06086100424294,8.99612665748046,7.11851109853638,7.12905852905099,7.13790408857423
"AAGAB",39.5227712305154,40.6441831059064,40.9616738826066,48.66496710504,47.8291526292372,45.3079961343128,42.573854546717,37.9743007985515,39.7521152300632,47.6910949317581,48.6713976468802,46.7742656157158
"AAK1",97.6053671702577,95.1607308129619,94.1991570695624,85.9174781142252,86.4804594672417,84.9560931965389,103.56630590253,103.584227660044,103.006931727675,98.3555597256621,92.4562755641389,96.4456805379706
"AAMDC",2.02763402892709,2.26453352013923,2.52043942881024,2.35293847902191,2.56872651882896,2.46270417640416,1.95761426344361,2.16066685485793,2.28106915246655,2.32889560631129,2.40865278457257,2.32331780137906
"AAMP",68.9502852058965,70.2676364138018,74.3438968210213,78.6332314456364,76.325962447496,79.4546136913553,70.1336588294579,71.2439237679769,73.6990376170514,73.5140065916751,75.429592086988,74.066251836735
"AAR2",23.5806327808558,23.802763445019,22.5388935972023,23.6139215020402,22.0482359532819,23.1004532102472,22.1806207414523,22.8960987684139,22.5928366056098,22.0878904045121,22.2869596733439,22.8412930834375
"AARS",168.400906624702,179.61944395297,174.055381849996,149.531353759638,150.203607431733,147.229384768303,183.862536169169,184.458220367146,188.534209949932,145.826947524749,154.499849015025,155.466350227221
"AARS2",35.7249805096679,37.9602915264821,40.2363675721576,36.0689970436892,34.6644292202387,37.6606515865315,37.0244436781725,38.9617023182447,40.1750100729362,35.6511440613941,35.0915793614452,35.8714670176779
"AARSD1",15.7812151140305,15.868508963346,15.8479428833104,18.4008242730695,17.6332372490446,19.010348028383,13.8565044386356,14.1953489066473,14.0836797671952,18.1624563007924,17.3312257832463,16.7110931014856
"AASDH",10.4063757040174,9.39362052798496,8.86686964523889,13.5399633433536,15.5193893845916,13.2784400622493,9.9412759117484,8.39872116162519,9.58561643845496,12.1864222921446,12.7077198634346,12.1764246216855
"AASDHPPT",35.2851233922816,32.5421854005193,31.8590796864718,38.3514882628601,42.0361391779198,38.4671511998568,32.2580785150055,29.4594147522565,30.3971687059026,35.9733811893114,34.8700940479212,33.6181286681476
"AASS",32.9249144697209,33.196383973004,30.8980488251269,25.5019080660458,25.6738864043374,26.3840587787861,28.2407135917647,32.6655655691425,31.806818182146,23.567251764496,22.2731168412486,22.813301302698
"AATBC",2.87516359657387,2.43227674385325,2.62923537537758,6.21344831885427,5.33813479694143,6.01994354232128,2.9789782269794,2.91573860521151,2.7936689620096,5.96138686646977,6.16006028238386,5.43040546346432
