"","logFC","logCPM","F","PValue","FDR"
"TNFAIP3",2.20387816719236,9.34892528558651,4056.81248628662,8.31554943939442e-19,1.14604902373734e-14
"IL32",-1.8076927327891,1.66902670503041,439.61770180716,4.65558795310488e-12,3.20816565848457e-08
"CXCL1",-0.896296664867342,5.24133092893133,413.185061420645,7.12517273857162e-12,3.2733043560998e-08
"C3",-2.86590127679655,2.55664755243192,310.701870449027,4.98328435237412e-11,1.47834281954521e-07
"TGFBI",0.660727168257604,7.61053196618907,299.960462968496,6.32622922334299e-11,1.47834281954521e-07
"POSTN",0.756531251327138,4.23867460038301,299.200165285488,6.43597222266092e-11,1.47834281954521e-07
"CXCL8",-2.19401968007492,3.66739121618981,290.648111071285,7.83258951728434e-11,1.54212498181733e-07
"DEFB4A",-3.13164453931976,0.49760260415574,251.801365724525,2.06176926399312e-10,3.46240336120483e-07
"TAGLN",0.650617071538487,4.56585127304892,248.36828537813,2.26103832904103e-10,3.46240336120483e-07
"SAA1",-0.901678840879229,2.92464198615403,224.108920980228,4.50184617328643e-10,6.20444439602336e-07
"FEZ1",-0.311640397660748,6.48919601134281,200.276879304953,9.51917950016301e-10,1.18248759209829e-06
"NFKBIA",-0.486776263135242,6.59796292992237,197.923300819448,1.02959302751266e-09,1.18248759209829e-06
"ITGB6",0.424806533036779,6.2063853547184,193.009580336895,1.21626682008464e-09,1.28942994726204e-06
"IL1A",-0.465113431746135,7.42540150308477,158.962985891401,4.36052722452642e-09,4.29262758631594e-06
"HES2",0.262593030659237,6.16822407466042,144.251055997725,8.20433496429586e-09,7.53814296519504e-06
"SERPINE2",0.242020084092063,8.02329570330174,135.667557951022,1.21987546851645e-08,1.05077023169336e-05
"DNAJB1",-0.265960585456135,7.31644204618796,127.075377931548,1.85787797804448e-08,1.50619260549465e-05
"CXCL5",-1.21314408741816,1.49040590135207,122.477752914334,2.35198683703637e-08,1.78176815407193e-05
"SPRR2A",-1.48583552845207,4.54663584539833,121.161450993036,2.5199805953786e-08,1.78176815407193e-05
"IL36G",-1.03662013894361,2.29565662369906,120.673932210185,2.58564526784491e-08,1.78176815407193e-05
"ZSCAN18",0.355264800882078,3.28910936088904,109.914745529836,4.67811188730438e-08,2.89204368794913e-05
"ULK2",0.246464084676291,4.66368297576386,109.343264060927,4.83471695358953e-08,2.89204368794913e-05
"CXCL3",-0.707388072806121,2.35836914915764,109.184591565981,4.879254049333e-08,2.89204368794913e-05
"LCE1B",-1.64437450351522,0.8406260624655,108.638304020336,5.03621016621528e-08,2.89204368794913e-05
"GPNMB",0.750567903794894,4.38038059198516,107.603889859179,5.34946840424195e-08,2.9490549418905e-05
"CXCL2",-0.597528511739483,3.45646948960143,100.600708771393,8.16345887662687e-08,4.32726116298737e-05
"HEPHL1",-0.713189316916835,5.92106510938163,98.3766298096277,9.38737169035649e-08,4.5274158127832e-05
"TSC22D1",0.179385216257209,6.24186183198195,98.1567339860406,9.51936798542614e-08,4.5274158127832e-05
"NETO1",-0.504130110799253,3.67760169086191,98.144851728421,9.52656062768197e-08,4.5274158127832e-05
"SPRR2D",-0.749680775469666,6.17145153064048,95.5290984717607,1.12723137665106e-07,5.17850094433498e-05
"C1QTNF1",-0.518839560962114,3.0147163402652,91.8384849494783,1.43936240938535e-07,6.12123886862716e-05
"KPRP",-1.38473141043853,2.74586581094885,91.2853946092675,1.4941713629395e-07,6.12123886862716e-05
"IL1B",-0.383453072694714,4.95268770227115,90.9905959858029,1.52435586019073e-07,6.12123886862716e-05
"PDZK1IP1",-0.759728624400799,-0.0075049826627596,90.7487598025696,1.54963790745504e-07,6.12123886862716e-05
"TMEM132A",-0.282554502549304,5.59715015509232,90.7026190202443,1.55451574809135e-07,6.12123886862716e-05
"OSR2",-0.764568393593711,2.33961615217203,89.5080569564228,1.68711424690399e-07,6.4588357085641e-05
"SIK1",0.352467322361118,6.54379482210608,89.0047348979001,1.74681611341527e-07,6.46314853284889e-05
"SLFN5",0.299422116021342,6.47904824450159,88.7169663574843,1.78203195652487e-07,6.46314853284889e-05
"LCN2",-0.502913652002523,4.54883130413983,88.1416569425046,1.85489344994479e-07,6.55490808388184e-05
"CDKN2A",-0.675602297987633,1.88584737466308,87.3122844119303,1.96599757191279e-07,6.7738446340255e-05
"MRPS24",-0.19450007559376,5.31483236070469,82.9886598529035,2.68389127114371e-07,9.02180231680551e-05
"FUT8",-0.271230041085088,3.81171151008258,81.7897842106286,2.93310706860362e-07,9.62478133797502e-05
"SUGCT",0.331312825775582,3.44883518533305,80.0866046599622,3.33395128644524e-07,0.000104604036013821
"EPM2A",0.566426362569996,1.44491903211712,80.0644714264227,3.33955709230021e-07,0.000104604036013821
"LYN",-0.404414747855138,3.763835419871,79.6134195485076,3.45617501810395e-07,0.00010585112022113
"CD274",-0.330273167811902,4.69828465467371,78.9925055236499,3.62439530362555e-07,0.000108590034944712
"MMP9",-0.764944759806421,4.09796715183007,77.1708242532885,4.17449466983985e-07,0.000121329016828078
"EPCAM",-0.321281769441917,4.79889190802748,76.9232457403872,4.25637447371572e-07,0.000121329016828078
"NFKB1",-0.182967842881282,6.19495664944708,76.7531670257667,4.31368583991859e-07,0.000121329016828078
"MUC19",0.436842051156186,2.68068468391054,75.8465200614973,4.63447016100087e-07,0.000127744535517828
