"","logFC","logCPM","F","PValue","FDR"
"NFKBIZ",1.27620342860821,6.07121739725464,2370.11993547413,6.42899550531176e-21,8.88615758744192e-17
"CXCL8",2.95837382092836,3.66739121618981,1798.55475176789,7.98814856629248e-20,4.76417836680725e-16
"IL1B",1.18850157273276,4.95268770227115,1713.67659232296,1.24127589395387e-19,4.76417836680725e-16
"CXCL2",2.06837570317527,3.45646948960143,1694.04557003843,1.37872330105838e-19,4.76417836680725e-16
"NFKBIA",1.69695497532149,6.59796292992237,1579.29999579688,2.61217472907744e-19,7.22109582106167e-16
"TNFAIP3",1.69947964517008,9.34892528558651,1499.70995157536,4.18288003434351e-19,9.63596130578266e-16
"CSF2",2.61353176195688,2.00720401680125,1187.77459025802,3.48300630605986e-18,6.87744473747991e-15
"TNF",2.96771543134091,3.11257028835158,1163.35323959099,4.20550925217217e-18,7.08466756657202e-15
"IRF1",1.02194570042163,4.36760728259332,1142.46623915799,4.95666819384163e-18,7.08466756657202e-15
"CXCL3",2.12090640465247,2.35836914915764,1138.25116529207,5.12564575790191e-18,7.08466756657202e-15
"HBEGF",1.07613929030168,5.31061359547849,1095.75364596287,7.23724127928635e-18,9.093922632936e-15
"NUAK2",0.949498473843712,5.43737970410556,1066.56227672898,9.24354036170722e-18,1.06470179066264e-14
"PLAU",0.720044476893533,9.29583804631529,904.945107514647,4.08773004891028e-17,4.34620036431061e-14
"CXCL1",2.10966455337925,5.24133092893133,895.465458014786,4.49565961362302e-17,4.43850051282124e-14
"IL1A",1.00635148479243,7.42540150308477,862.282084640403,6.32207623985199e-17,5.82558251914894e-14
"LOC100130476",1.50963355843877,3.2334422668702,682.947208975806,5.15829151753915e-16,4.45611908471413e-13
"ITPKC",0.644844437717891,5.95002717446004,677.204707031635,5.56452639172756e-16,4.52428728155637e-13
"EFNA1",2.08178903070159,4.66578346427269,593.418625287593,1.81729572999339e-15,1.39548119888714e-12
"SDC4",0.56881518776178,7.68093906139205,574.234055065101,2.43797024742293e-15,1.77355919788841e-12
"BTG2",0.80635864304064,6.08966730173013,562.126570809428,2.94921603311219e-15,2.03820320048383e-12
"INHBA",0.963137455480402,6.11537231654239,469.617998932598,1.46250549235349e-14,9.62607186443329e-12
"BIRC3",1.08388858025656,3.7051333245835,451.808603083825,2.06089836299338e-14,1.28953001322813e-11
"C10orf55",1.03400022651215,3.94611652021339,449.755815466666,2.14579585474222e-14,1.28953001322813e-11
"PLEKHF1",0.779292034388235,3.96712426368076,430.583209003171,3.15612099895262e-14,1.81766268531347e-11
"NOCT",0.60222516440762,4.90692293900663,418.455473261746,4.06342325068219e-14,2.24658544683717e-11
"CCL20",2.9734119679361,0.671566752977392,399.849422972634,6.07199103947795e-14,3.22796385183324e-11
"ID1",-1.0351777868795,3.64287190741301,384.979813616732,8.48058245546943e-14,4.34143002590735e-11
"FOSL1",0.283104408756605,7.42381890349658,371.19779929577,1.16890009512118e-13,5.77019182670175e-11
"NCOA7",0.56883302350917,4.62766115436932,366.586787224827,1.30468451305385e-13,6.01747839559938e-11
"ZC3H12A",0.79919182700848,6.30381453860633,365.726344135055,1.33191123296649e-13,6.01747839559938e-11
"CXCL5",1.35646575513403,1.49040590135207,365.177686100348,1.34960085561844e-13,6.01747839559938e-11
"IL16",0.945162427428194,2.67634322414946,342.245660188821,2.38427812521001e-13,1.0298591327079e-10
"PPP1R15A",0.447112763737735,6.36282509167479,338.293611874285,2.63959567213565e-13,1.10559064788664e-10
"RNF19B",0.418059112959138,5.48925306803231,332.320367035924,3.08498839776316e-13,1.2541385186436e-10
"ELF3",1.69081650220062,0.65226817454919,311.04333283773,5.49832211306126e-13,2.1659514203684e-10
"SPRY4",-0.326274037852697,5.84530448414352,310.128688341314,5.64131465296357e-13,2.1659514203684e-10
"BMP2",0.80551632991788,3.25913570827587,307.669319727037,6.04667794695106e-13,2.25884277250696e-10
"LIF",1.12517275223067,1.45565922895354,295.468414334896,8.5995814679459e-13,3.12798460657758e-10
"TIPARP",-0.299882425213501,6.87849535847234,293.489938485993,9.11678899327878e-13,3.23108352474613e-10
"PLAUR",0.682093741413117,5.4166643521805,281.879129651346,1.29428061458763e-12,4.38266119462393e-10
"TIFA",0.838413568448662,2.78542898155775,281.73526996085,1.30002249297917e-12,4.38266119462393e-10
"CD83",0.993224218158105,2.44790988706795,276.554675795767,1.5268741123352e-12,5.02486999540407e-10
"SOD2",0.76861772535777,4.88373322173137,268.928094477389,1.94495192562518e-12,6.14634518620835e-10
"PRDM1",1.07450413938539,5.22151261746808,268.742690261264,1.95658506868158e-12,6.14634518620835e-10
"IL36G",1.92742976819187,2.29565662369906,259.995405369855,2.60395853671378e-12,7.99820330987953e-10
"TBX3",0.404511127519339,5.7330760684935,258.561014726562,2.73125879165296e-12,8.20683891700592e-10
"PMAIP1",0.492219023932946,4.54175363443154,257.531416987002,2.82688665487423e-12,8.3134526263131e-10
"EHF",0.260772765522626,7.00795072901434,253.48249845863,3.24063405007003e-12,9.33167580001415e-10
"PTX3",2.78641159848888,-0.838174218279305,245.394631888038,4.28379828371782e-12,1.18870290277126e-09
"IL1RN",0.582610731290727,6.19658368722565,245.286638555966,4.30003943991919e-12,1.18870290277126e-09
"MAFF",0.430141683876357,5.26442070125381,241.121143080064,4.9817673962467e-12,1.35015664609651e-09
"NFKB1",0.424979898561255,6.19495664944708,239.948354581557,5.19473430928943e-12,1.38080033890382e-09
"RGS2",-0.646195239901542,3.17660741491965,237.248507911724,5.72442271537097e-12,1.49288624097845e-09
"IER3",0.439853759665503,8.09947015777344,235.271587262017,6.15025807735447e-12,1.57423828046655e-09
"PPIF",0.41664950061135,6.56281483217974,231.514922383947,7.05970118754099e-12,1.77416708753076e-09
"TNIP1",0.342563814216456,9.29698130918271,225.898609521817,8.71034458026652e-12,2.14989969265078e-09
"EDN1",0.878147941652143,5.10428522214925,221.173166490159,1.04341528913031e-11,2.53019054848405e-09
