"","fpool2_eGFPorf_TNF_1h1","fpool2_eGFPorf_TNF_1h2","fpool2_eGFPorf_TNF_1h3","fpool_eGFPorf_TNF_1h1","fpool_eGFPorf_TNF_1h2","fpool_eGFPorf_TNF_1h3","fpool2_TNIP1orf_TNF_1h1","fpool2_TNIP1orf_TNF_1h2","fpool2_TNIP1orf_TNF_1h3","fpool_TNIP1orf_TNF_1h1","fpool_TNIP1orf_TNF_1h2","fpool_TNIP1orf_TNF_1h3"
"A2ML1",79.61249807882,72.2186312715017,71.0676995776589,134.845526197239,128.330323320186,127.668102385636,49.5992000348335,41.3468910387666,45.4706111469251,141.400670840939,145.436353618599,143.62204332034
"A4GALT",9.37876519113234,9.86078549971716,9.76076972616636,13.7154184874769,13.7237178966976,14.5037005667745,10.8739060002385,10.5210402257681,10.4906479795257,12.5129505398467,11.9706803131318,12.1336768252379
"AAAS",29.9994596650582,29.7781041021235,29.8633073764852,28.8830577559807,30.6478285044828,30.8064819082945,31.0927660884209,29.6302780600703,29.8460048674404,30.0916976650293,31.2053028596191,29.6053324785191
"AACS",61.7110160629943,58.6264070901298,60.0171138519634,53.632871750577,53.3868899364813,53.3505187770176,61.0357603387963,60.4561288730688,62.4984251179387,53.3770429948894,54.0626312903436,52.69812104306
"AADACL2-AS1",1.08264940461393,1.07661181634629,1.10389657617358,1.30327505989599,0.99808857430528,0.844013202966972,1.28431960632738,0.976384414891355,1.14706660497999,0.710077470081267,0.741218595240358,0.996282885391184
"AADAT",6.86097587807668,6.66765272623555,6.46069996160535,6.57843601661787,6.91067849817895,5.91919785764995,6.92309425886948,6.9343219669835,7.45036464787972,5.78453353675959,5.53134376698117,5.35895320457784
"AAED1",7.72961319108088,8.62512875595607,7.63431632153726,6.28054457435592,6.35739026677059,6.19683377967856,7.84046540624618,8.28930442030211,8.07401251078146,6.40801619341631,7.12496374674794,6.94251863293646
"AAGAB",41.5812905051143,40.1037901588993,39.2057584001015,44.8450742038497,45.2611470869742,44.1663224763112,39.7405181043585,40.5797318556376,41.249851503358,45.5488718613105,45.1680081474593,43.8049853924103
"AAK1",101.064063026054,99.5988272372176,99.8503503058899,101.419623946763,96.0985716434366,98.8717045528283,99.8833705263748,104.30375958671,101.298231445611,92.7084072523176,95.2187937910645,95.4963363618118
"AAMDC",2.14012091609731,2.34897123566463,2.14969333254854,2.28383439067488,2.2999432364426,2.12113844429858,2.53194436675969,2.17195716781954,2.28299664097959,2.12157292890135,2.30704287768561,2.31766860706791
"AAMP",68.4964582616793,67.1536620445999,68.1859485156478,74.1625569797957,77.8183624292584,75.1060696271794,68.276876595423,67.8387906224004,67.7214759697408,77.5023580149675,77.2257123916048,75.9062686785409
"AAR2",25.3541383824705,25.4104857108096,26.1797788012533,25.2587118751271,25.8309662545747,25.4314504578206,25.0258849004363,24.4394996911071,25.4916063961086,25.2597070759397,23.5522208637624,23.8059173667157
"AARS",152.955700768131,155.790623515382,154.336361313026,137.265894165617,142.455446404376,137.440886841043,173.65224239076,171.305649282061,171.904078781273,150.181384922188,148.706980670097,142.940376082967
"AARS2",35.8659087644779,36.8984231602319,36.846905716278,38.1673410398112,37.8405755127915,38.2027028711366,35.4716843652323,37.9992873305676,35.9265715307324,34.3261840414895,35.7730624527878,34.4399262697331
"AARSD1",14.6787116951145,15.5986371118355,14.6876344450884,16.5826236192481,18.3236043695828,17.3577978452287,15.2772875076466,16.3693836088418,15.5021040207004,16.3664197372389,15.2598378295109,14.5876788797804
"AASDH",9.03886363386983,9.40811916784429,9.74914976220664,11.7170633956363,12.3133753460488,11.2942293081238,9.87091354577327,9.07638981597984,9.68881501293776,12.8593297935449,12.471002864919,12.1336768252379
"AASDHPPT",30.2134717566679,31.5153640785005,30.4791654663504,31.5640807363382,31.4072437240629,31.8503929751221,30.4689537082047,28.3848897757701,30.8260229377146,30.3514821053029,31.7426863411683,33.559002455282
"AASS",35.2616393293445,34.3537043215953,32.6056188709795,26.8847026641402,25.5597465332961,27.308269290734,31.887821082814,35.1996544674608,34.222676476733,23.6057461395309,23.9876867884661,24.3197895918122
"AATBC",2.70662351153484,2.9851509453238,2.89337102597074,6.62808459032819,5.66306778029735,5.74151086755164,2.98451413279886,2.5206658874236,2.6505034173324,5.16105088010286,5.34603911817108,5.73649198219976
