"","logFC","logCPM","F","PValue","FDR"
"KRT1",-1.25711670887397,6.32479703385928,73.2558486319279,5.4660295783757e-07,0.000122070613662543
"PYGB",0.198332233628096,8.35606451505643,73.237229924725,5.47441450059869e-07,0.000122070613662543
"HERC6",-0.188371668392349,5.75365288455759,72.6304002561032,5.75590306605477e-07,0.000126310095060646
"RNF44",0.214968903097928,5.42678159570594,72.3204043848811,5.90604985071082e-07,0.000127579904978246
"TJP1",-0.155745558726494,7.85764538370002,71.8803630491001,6.12692110670496e-07,0.000130314898923379
"CST3",0.228832854350912,6.60965228739652,71.6095914244308,6.26750917019752e-07,0.000131285324663607
"TACSTD2",-0.169049082238643,8.39474242002019,70.7966485837344,6.71222235054368e-07,0.000137899070859068
"NPNT",-0.467093425246815,3.42388309064837,70.6733993730428,6.7827391091621e-07,0.000137899070859068
"SHANK2",0.288568114438794,3.11438307641831,69.9122810878566,7.237406567496e-07,0.000143942182474284
"LTBP4",0.257697907663552,5.63382917211909,69.6883660199873,7.37771548543461e-07,0.000143942182474284
"RAPGEF3",0.344267029702223,2.43877127661158,69.665324289457,7.39232908186196e-07,0.000143942182474284
"ITGAV",-0.261920851970787,6.88375445772443,68.0273415533112,8.52108446062938e-07,0.000162838592068181
"TCFL5",0.215306478878219,4.10767196628353,67.9243957134254,8.59834880360013e-07,0.000162838592068181
"MRC2",0.245194189478201,6.07625973480423,67.6764273786402,8.78776067865871e-07,0.000164176745111428
"PGM1",0.176426383336669,5.4251800689979,66.641031514078,9.63182314542316e-07,0.0001775466066473
"CYP27B1",0.200269187277607,5.3843638280399,66.1116272093897,1.00989079088745e-06,0.00018370710768446
"ADM",-0.282650469383606,4.62949879503339,65.714995367973,1.04658094306582e-06,0.000187472965188179
"GSN",0.268540914009441,6.38426109337383,65.597776295192,1.05771365531125e-06,0.000187472965188179
"CLCA2",0.220357267949117,6.76483369007159,65.3310313442098,1.08355455831467e-06,0.000189622047705068
"EVI5L",0.296183273811843,4.52938498978317,64.8162093659492,1.135491255553e-06,0.000194940097294777
"XDH",0.443387300375812,5.09846348520029,64.7522049274948,1.14214451217917e-06,0.000194940097294777
"OAF",0.241651702912205,4.36977944750566,64.4583925987117,1.17326258040452e-06,0.000197809209440153
"ZBED5-AS1",0.540681911204398,0.900732333627188,64.2045035660371,1.2009330714441e-06,0.000200034936297767
"TAP1",-0.172050888143445,6.07547284017445,64.0196969465415,1.22154296400038e-06,0.000201045612825063
"ACTG1",-0.18514681357737,11.2483373149961,63.6869240906006,1.25968016141733e-06,0.000202725685829955
"CDV3",-0.195438047891933,8.01873539311875,63.6749426566318,1.26107840733281e-06,0.000202725685829955
"PRDX5",0.220230352113288,6.75312048237653,63.5047359060888,1.28113418410765e-06,0.000203582529830899
"NDRG1",0.236059631569878,7.59703441719293,63.1094600026547,1.32912988883609e-06,0.00020680318842888
"PGLS",0.281391320891758,5.09643893187825,62.9279804846037,1.35185053690794e-06,0.00020680318842888
"TXNRD1",-0.223515680817101,6.64319671852454,62.8635010588647,1.36002959014665e-06,0.00020680318842888
"LCP1",-0.327277191705461,4.67011040707438,62.854026404553,1.36123617700022e-06,0.00020680318842888
"PCBP4",0.211074955679742,4.55074000785221,62.5805549728079,1.39659445319759e-06,0.000209868677341921
"PRSS3",0.376649041004499,4.17259101203446,62.3677493633843,1.42483476537705e-06,0.000211810114315459
"PRODH",0.582278482835504,2.98621610361436,62.0724565210555,1.46510740851588e-06,0.000214994536916113
"LAYN",-0.556879298447845,1.43078441353437,61.9067059813503,1.48828110256353e-06,0.000214994536916113
"PGF",0.302781218009491,4.27460764450435,61.8739531234957,1.49290962343196e-06,0.000214994536916113
"ST6GALNAC5",-0.268550349587005,3.01745527805508,61.1452854159662,1.60025374273839e-06,0.000228077401993383
"CADM4",0.354322073506922,2.95476407154705,60.9871562485593,1.62469568084636e-06,0.000228811565904673
"PARP14",-0.148621247770255,6.96963045789047,60.8990047205965,1.63850596922695e-06,0.000228811565904673
"KRT34",-0.884740386337655,3.74761211437076,60.4703890721189,1.70759325172581e-06,0.000232790669124029
"ABCG2",-0.359311933105634,2.41348921715135,60.4112769938076,1.71737966875892e-06,0.000232790669124029
"MEF2D",0.205457038281588,5.65797413220276,60.4104607897795,1.71751524417005e-06,0.000232790669124029
