"","logFC","logCPM","F","PValue","FDR"
"TNIP1",3.74046364430594,9.29698130918271,2627.16581757064,1.66249287577342e-17,2.28626020276361e-13
"HEPHL1",-0.770300572194585,5.92106510938163,552.242931748492,9.26222404601981e-13,6.36870525404322e-09
"IGFBP3",-1.81858909379627,2.69742001581868,386.125244279238,1.09100145897762e-11,4.32298367029918e-08
"IL32",-1.21390137533392,1.66902670503041,372.061842695724,1.40678453336555e-11,4.32298367029918e-08
"KRT1",-1.3929329888787,6.32479703385928,366.083217180031,1.57176544149912e-11,4.32298367029918e-08
"DOCK4",0.328747460208062,6.21427189133563,333.427917417434,2.97589995091062e-11,6.82076268748713e-08
"MAFB",-1.07944112975475,3.88979394527037,297.567076685709,6.45499173328504e-11,1.26812923308766e-07
"FHL1",0.329130939939865,6.89612052667015,290.732203727044,7.55743149022494e-11,1.29912247316967e-07
"DDIT4L",1.07011977248875,0.835132476053712,238.932732904673,2.84259162016565e-10,4.34347999561311e-07
"SAA1",-1.21546045049179,2.92464198615403,209.463743992515,6.86165722205855e-10,8.69257200347429e-07
"XDH",0.459629167700089,5.09846348520029,209.048608261218,6.95304625059753e-10,8.69257200347429e-07
"SPRR3",-1.15223680850736,3.65275910944861,206.070661882685,7.65088598188709e-10,8.76791533524261e-07
"NT5E",0.340973452785329,7.81971636427792,200.300980027899,9.24310571885917e-10,9.77778383428856e-07
"PLAT",0.598980380670814,5.15433312981156,196.199554305168,1.06058246820846e-09,1.04179500734305e-06
"TRIM16",-0.420114461668589,5.74417015780153,192.093569658474,1.2204523632117e-09,1.11891072659248e-06
"FTL",-0.343170384362879,8.49276872765327,182.731252812185,1.69920439291398e-09,1.46046617570957e-06
"CCL20",-1.11800041546933,0.671566752977392,168.304540343742,2.92245355802077e-09,2.36409301940598e-06
"CRYAB",-0.877701041075924,3.46606420842125,160.427770671617,4.00276490636758e-09,3.05811238846483e-06
"SMURF2",0.299543972696174,7.72518774795988,153.084534892679,5.43777790558154e-09,3.93580640829249e-06
"EPN3",0.287328258790077,7.39095988773887,151.244661020201,5.8841177535842e-09,4.0459193673645e-06
"EDEM1",0.271478607984358,7.33450073643238,145.021802785975,7.73509085976573e-09,5.06537950016659e-06
"SPRR2A",-0.871333065855416,4.54663584539833,143.572325749062,8.25665801956883e-09,5.16116186750503e-06
"FTH1",-0.442587987206996,9.53446554281914,142.026497138976,8.85762343995988e-09,5.19977105108403e-06
"NRG1",-0.298667258162784,7.45144851719064,141.497463255538,9.07464406820947e-09,5.19977105108403e-06
"TSPAN1",0.365280539446231,5.34900217047679,136.019928482282,1.17175533435642e-08,6.44559174322777e-06
"MMP9",-1.77247810555413,4.09796715183007,132.983332225204,1.35564517673585e-08,7.17032018095055e-06
"GID4",0.266846774374787,4.74216211609141,127.097564297852,1.81423379512027e-08,9.05332103211965e-06
"KRT2",-1.5454328081871,1.46835558377895,126.7832353101,1.84331725494001e-08,9.05332103211965e-06
"RUNX1",-0.203119857836158,7.80003243156565,126.018920947126,1.91628244163882e-08,9.08714349566103e-06
"NOS1",0.245218440034447,5.40469430629962,123.694691762628,2.15924918813917e-08,9.89799827842996e-06
"ERCC1",0.190245826310853,7.14351233978221,121.543668212728,2.41586841248089e-08,1.07171040027217e-05
"ZMYND8",0.213057512062959,6.62660843337485,119.541089200258,2.68647868089335e-08,1.15451421311392e-05
"F2R",0.26705813457927,5.4542070657639,118.754903111124,2.80205178919355e-08,1.16576086179013e-05
"SORL1",0.19055547487348,6.48763885795182,118.23118407698,2.88218944887029e-08,1.16576086179013e-05
"FLNC",0.514689666107991,3.82373851573602,115.869823496183,3.27757513945051e-08,1.2878060947921e-05
"CYR61",-0.308425193127953,7.93427630100837,114.649084922702,3.50604025963034e-08,1.33930737917879e-05
"FAM83A",0.234359338049094,7.52489718236357,113.099412222232,3.82271510323788e-08,1.42081021891155e-05
"PTGER4",-0.423136808195275,3.44169564307102,107.811216883274,5.17715524711208e-08,1.87358523574435e-05
"INHBA",-0.612719132446173,6.11537231654239,106.660676297031,5.54002080260235e-08,1.95349656608686e-05
"HDAC9",-0.330064281436951,4.03521185775836,105.989679770928,5.76500979349931e-08,1.98201036700506e-05
"ADAM19",0.321480799816022,4.02523840259912,104.418514535324,6.33382735883124e-08,2.12445838630847e-05
"ETV5",0.209907188951632,5.86445789095896,103.990088582078,6.49986664873731e-08,2.12824205127228e-05
"MAP2",-0.370737634328902,4.89889714435214,103.066062358299,6.8751727190012e-08,2.19877616817917e-05
"S100P",-1.64054303687329,0.53960130606278,101.271995728186,7.6767324338379e-08,2.3993278279577e-05
"FN1",-0.304389354764974,12.2191897324684,100.833065268318,7.88874794939534e-08,2.41080137333521e-05
"RAB3B",0.212585504180302,6.39013949387627,100.063585345899,8.27676029067288e-08,2.43029296713377e-05
"NEFL",-0.398179724350477,4.34934399094619,100.007322143015,8.30597509128034e-08,2.43029296713377e-05
"PGF",0.339575246074834,4.27460764450435,99.2122706856815,8.73164755761948e-08,2.50161702525798e-05
"MBOAT2",0.306353011989437,6.07612297465153,98.5339627867238,9.11457444976913e-08,2.52714372282449e-05
"PLD5",-0.282222267302825,3.86501701895649,98.4071409449197,9.18827706088021e-08,2.52714372282449e-05
"KIAA1549L",0.249378155453545,4.9945033478521,95.2514667821,1.12608628039903e-07,2.92533645709439e-05
"C1R",-0.603041687221524,1.4057953640133,95.2322204898476,1.12750451955756e-07,2.92533645709439e-05
"ODC1",-0.224162027633663,7.88457236267074,95.0357493998025,1.14209947969896e-07,2.92533645709439e-05
"CCND1",0.190611527351254,7.58310881792906,94.9479366356166,1.14869232608418e-07,2.92533645709439e-05
"NEURL1",0.657844278788039,1.51997023721749,93.785983248685,1.24014939396734e-07,3.10082444833433e-05
"PCK2",0.187920788984227,5.58802193937403,92.9521459276412,1.31091046643479e-07,3.17623194851722e-05
"ANKRD33B",-0.320594594842833,4.36146544245834,92.7355767952804,1.33003532986774e-07,3.17623194851722e-05
"P3H2",-0.231352915556076,6.36614396841764,92.6286233370224,1.33959753500581e-07,3.17623194851722e-05
"CYP1B1",-0.77917492015311,1.89469621801842,91.400314203311,1.45523103359463e-07,3.39192155491412e-05
"CTGF",-0.42070129448209,7.1043745485294,89.8206549470607,1.62106923908121e-07,3.66224963183839e-05
"TENM3",-0.261281788803806,5.25339834554577,89.790210808746,1.62447082273227e-07,3.66224963183839e-05
"CYP24A1",-0.792597632388404,1.51335455095887,88.9599677749967,1.72045191883847e-07,3.81607335288172e-05
"C1QTNF1",-0.45987481442229,3.0147163402652,88.1350723074836,1.82227670452888e-07,3.91838158405668e-05
"KRT34",-0.518892824181276,3.74761211437076,88.1249887564381,1.8235632735575e-07,3.91838158405668e-05
"SH2D2A",0.469658170599864,2.49202852473884,87.4946675315878,1.9060831450753e-07,4.03268544785778e-05
"CTNNBIP1",0.293492613919043,5.80989725197291,86.9229735570943,1.98462999140162e-07,4.13524721844774e-05
"DTX2",-0.212301924563185,5.74948702206811,84.7101156015645,2.32552703883187e-07,4.77323102059939e-05
"CCDC80",-0.26561915189811,4.86689482150169,84.4444430721383,2.37077867178218e-07,4.79455121975714e-05
"ADM",-0.352173016479477,4.62949879503339,83.7455367606606,2.49470046169863e-07,4.97204648540284e-05
"SLC16A2",-0.180282037497556,5.63745634462946,82.7951866370315,2.67524913602237e-07,5.25571801693994e-05
"TNS3",-0.318953967340169,3.82634668844204,81.5971858420479,2.92448551086095e-07,5.66444010498026e-05
"VLDLR",0.361439106135924,2.56191953018047,81.0546649927398,3.04599830236394e-07,5.81785675751513e-05
"KRT15",-0.287241205202719,5.95618272042186,80.0487864198254,3.28686274910062e-07,6.19190911310024e-05
"AMOT",-0.307389866698785,4.18323287314902,79.677899100146,3.38110504560475e-07,6.21016621144747e-05
"PYGL",0.145950543146005,7.77976726514265,79.5047615528008,3.42615241532175e-07,6.21016621144747e-05
"FOSL2",-0.330010412069181,7.0172871100556,79.3330680766994,3.47150169934012e-07,6.21016621144747e-05
"JPH2",-0.378818258660973,4.03106398127203,79.3117229360675,3.47718730571157e-07,6.21016621144747e-05
"KRT4",-1.54228488138143,2.60987832673925,79.0449970149082,3.54913740275091e-07,6.25740225161931e-05
"ASAP2",0.166074009472046,7.08619465743972,78.5804933787017,3.67853320395541e-07,6.40344159756895e-05
"SYNE3",0.336999772895463,3.18500797484407,77.7158923836876,3.93398942957568e-07,6.76252782944059e-05
"TUFT1",-0.302014939536663,6.42960645271215,77.0805238812088,4.13464775661075e-07,7.01971308011248e-05
"CBS",0.186305189454066,5.57705021553491,76.1212604136977,4.46013553503844e-07,7.44825585327088e-05
"LINC00673",-0.317556186691966,4.59356532350471,76.0221961710778,4.49538420463557e-07,7.44825585327088e-05
"SACS",-0.157711775932289,7.2395103607775,75.4458371789064,4.70687881018949e-07,7.70583302353879e-05
"NOL4L",0.45233805388087,2.38854790775481,74.8557593045937,4.9352559795134e-07,7.91980142238813e-05
"NEFM",-0.679887027288536,3.18515644196558,74.8118353858774,4.95275539794487e-07,7.91980142238813e-05
"ITGA6",0.198924282606111,10.268364440922,73.9499996262162,5.31086070334642e-07,8.39482257384137e-05
"FLJ42627",-0.437349562450244,4.30291567124823,72.8685076428007,5.80280581834309e-07,9.06820291066524e-05
"ACTG1",-0.218179024267046,11.2483373149961,72.5923173322048,5.9366430098717e-07,9.17311400806243e-05
"TRIM47",-0.377415073004086,4.0242080141024,72.0258689279519,6.22230773553565e-07,9.39079083733251e-05
"MMP1",1.45180761370431,2.15636738006085,71.9541014074605,6.25960816694553e-07,9.39079083733251e-05
"NQO1",-0.280986700104281,5.30370745952477,71.910528963915,6.2823789778548e-07,9.39079083733251e-05
"CYGB",0.27668185249362,4.69414961171125,71.7466227689587,6.36888655619062e-07,9.41773418502509e-05
"RPS6KA2",0.237297196143673,4.65241793490312,71.6144634958958,6.43962932739065e-07,9.42104069258258e-05
"CYP27B1",0.237035137321659,5.3843638280399,70.6790121289608,6.96679970133141e-07,0.0001008499257818
"SCN8A",0.397736512689045,2.62104735520383,70.3662013108016,7.1539471408483e-07,0.000102480292792652
"IL16",-0.393389777638334,2.67634322414946,69.6271570877106,7.61933972976521e-07,0.000107318611014745
"PYGB",0.215421885324921,8.35606451505643,69.5016259908837,7.70177601219424e-07,0.000107318611014745
"CLIP2",0.34061300191696,4.37883113582419,69.465306977677,7.72581623797246e-07,0.000107318611014745
"CYP1A1",-0.817896808280921,0.987627374586305,68.7500722189111,8.21714562177999e-07,0.000113002186590718
"TAP1",-0.201728373436671,6.07547284017445,68.4442556385313,8.43803991383583e-07,0.000114891014747594
"H1F0",0.282080172417678,6.9739241347087,68.1424766156682,8.66268566383875e-07,0.000116793385538344
"IL1R2",-0.285615668227531,3.65252821191886,67.6914366776781,9.01128691161871e-07,0.000120313803503476
"SERPINE2",0.254574579424092,8.02329570330174,66.2378186683052,1.0248646810307e-06,0.000135518645130137
"LOC284454",-0.481503647528619,4.84960463890872,65.7687211876928,1.06885433685019e-06,0.000139989379432036
"DUSP14",-0.157276260000185,6.11875660465718,65.3416860246245,1.11078171085098e-06,0.000144108208373799
"NFKBIE",-0.300247074866833,3.28639336628139,64.9423958256833,1.1516907297838e-06,0.000148019167439129
"PEAR1",0.355580425284709,2.90478268777469,64.4831484327937,1.20088505295266e-06,0.000152230252907728
"PRSS3",0.362251921276114,4.17259101203446,64.4312362223079,1.20659522738092e-06,0.000152230252907728
"LRRC20",0.418309686621111,2.357159978148,64.2035973041911,1.23200343816905e-06,0.000154022829833643
"ADCY7",0.178180961265387,4.68907296896357,64.1047586110082,1.24322518072086e-06,0.000154025519687147
"PML",-0.223211367955091,7.33393689481458,63.3205768677588,1.33651214266391e-06,0.000164104598088518
"TFCP2L1",-0.1454529358252,6.33560274718894,63.0087481161677,1.37580891269554e-06,0.000167142580767905
"RBM19",-0.166331462279562,6.13832236349482,62.932925180254,1.38556240601667e-06,0.000167142580767905
"CRYL1",0.435969803204757,1.85187455087149,62.4830194192576,1.44508575226694e-06,0.000172807124045
"CYLD",-0.198358106895584,5.12303254850683,62.3141721113408,1.46817375496248e-06,0.000174054529984862
"IGFBP4",0.228333863644165,4.36888281387341,61.8208531950496,1.53807917476281e-06,0.000180783459925968
"PRNP",0.213888832875769,8.37712286546064,61.720394294505,1.55277588719934e-06,0.000180964186447164
"IGFL1",-0.384821886763792,4.3741947746826,61.4659966335578,1.59071555332882e-06,0.000183827901591411
"HSPB1",-0.435145802897384,9.15990457159436,60.8873066457464,1.68102625187251e-06,0.00019264560846459
"PAG1",0.266860519127433,4.01720960589039,60.7360427328701,1.70558801658283e-06,0.000193182191426229
"ADGRF1",0.330222550341561,3.5594497942972,60.6730519073642,1.71593688564469e-06,0.000193182191426229
"STARD13",-0.23940833823124,4.62780541977141,60.6010674713957,1.72785118858538e-06,0.000193182191426229
"MXRA5",0.289692649756887,4.14597682274781,60.5143853867116,1.74232363752797e-06,0.000193229311800683
"MYBL2",-0.162729575850347,6.55648551751059,60.1207491440105,1.80981035249626e-06,0.000198144656975814
"PDLIM1",-0.140601870947025,7.6508909049438,60.088549682501,1.81546151679411e-06,0.000198144656975814
"KRT10",-0.670250487319106,7.05109077325598,59.5865629683039,1.90621995141878e-06,0.000205528660220311
"OSBP2",0.312554553685918,4.08820461814918,59.5436824866361,1.91420982597392e-06,0.000205528660220311
"UHRF1BP1",0.181322402844693,5.26051522189174,59.4291857085789,1.93573185808774e-06,0.000205528660220311
"ITGB4",0.183695491388349,11.0714514607815,59.3913869477815,1.94289745699828e-06,0.000205528660220311
"TRAF1",-0.903865166691779,1.37410538199258,59.201291665253,1.97939644828263e-06,0.000207791297380021
"XPOT",0.158340487408606,7.38467098758436,59.0760938695115,2.00386230193439e-06,0.000208766018001528
"ACTA2",0.41975724516698,2.39311246029563,58.8062391844587,2.05777970423068e-06,0.000212771327011882
"PCDH7",-0.147896058912619,6.31421856623719,58.4198914957545,2.13788039446193e-06,0.000215340262595465
"BBS2",0.215934340597281,4.60509175288047,58.4073914247325,2.14053082553989e-06,0.000215340262595465
"MARCKSL1",0.370123741976232,4.00116362192253,58.381746952271,2.14598005562803e-06,0.000215340262595465
"POSTN",0.437881366355009,4.23867460038301,58.3694566056644,2.148597260272e-06,0.000215340262595465
"SH3TC2",0.179281131149662,4.98733547778163,58.3118232671067,2.16091886548677e-06,0.000215340262595465
"ADM2",0.344447449916975,2.88001620067879,58.1609714277791,2.19355359436883e-06,0.000217019777192519
"GPT2",0.191996995129611,5.22501502253616,57.5651796821108,2.32806171683989e-06,0.00022868217664273
"SDC4",-0.237170624393521,7.68093906139205,57.074523466331,2.44593194829974e-06,0.000238556426617149
"BTBD2",0.221910219856202,5.92398199536529,56.8711080429642,2.4967849988418e-06,0.000241801319042764
"KRT13",-1.11856955221616,5.08720967989917,56.7057862596479,2.53900489954872e-06,0.000244170597053104
"NR1D1",0.229514453069919,4.54964426399259,56.5325775195221,2.58411550697353e-06,0.000246377542353114
"HECW2",0.574866774733949,0.659296187638617,56.4323195961869,2.61064448886145e-06,0.000246377542353114
"WNT10A",-0.807184719242613,0.575097794501393,56.4133417858751,2.61570107501125e-06,0.000246377542353114
"FADS3",-0.349912344467627,3.37379012770021,55.6959668196059,2.81530076996369e-06,0.000263374259785991
"IRX2",-0.232526041054259,5.26345077104586,55.4423479635398,2.88998484165493e-06,0.000265018813821074
"RELB",-0.406124406657537,3.78556021411383,55.377629808217,2.9094031169975e-06,0.000265018813821074
"TFRC",-0.204351559221594,7.05057665075658,55.3775194905193,2.90943634403424e-06,0.000265018813821074
"NFATC4",0.476914181783626,2.57381515426053,55.3686769318357,2.91210107967495e-06,0.000265018813821074
"SLC16A3",0.299459892869127,4.94652085323638,55.3120353100362,2.92923645293799e-06,0.000265018813821074
"ZC3H6",0.409815135344022,2.83624248529592,54.7240418357033,3.11408589595775e-06,0.000278453867995545
"LOC401585",-0.453500977049185,1.292511357294,54.7113206113078,3.11822976085761e-06,0.000278453867995545
"ADARB1",0.145989995417364,5.59171351104978,54.6279477008754,3.14554432805168e-06,0.000279080810318495
"MAP2K1",0.143571839820405,6.61531441184556,54.3588144585239,3.23559932411433e-06,0.000284264825997917
"CMTM4",0.154878545037272,5.48417500207493,54.3302894617275,3.24531542187848e-06,0.000284264825997917
"THBS2",0.16715222059927,9.28824269773635,54.1364209568413,3.31223965924421e-06,0.000287217304384828
"BAG1",-0.184128509028976,4.58819773466369,54.1119646716461,3.32079344074953e-06,0.000287217304384828
"SOD2",-0.324205464478915,4.88373322173137,53.8428265635568,3.41661144081842e-06,0.000292121857958825
"PTRF",-0.159833066113609,9.12901233230838,53.8335112197854,3.41998393916309e-06,0.000292121857958825
"HNRNPA1P33",-0.293696629206598,4.01671844234003,53.7144931573161,3.46340901383202e-06,0.000293928634748789
"TMTC4",0.278432209297917,3.33473020888942,53.6370478720613,3.49200378411407e-06,0.000293928634748789
"FAM210B",0.221471428806315,4.67199023695917,53.601398004148,3.5052571334207e-06,0.000293928634748789
"GPRC5A",-0.290835652423048,4.40057120553773,53.3754065444905,3.59062074318646e-06,0.000299261917941213
"FMNL2",0.149161117388333,6.74107371812019,53.2376340308554,3.64382505649301e-06,0.000301866760101758
"ETV4",0.135518493007794,5.9132787490154,52.9550788162004,3.7557809677183e-06,0.000307873160804822
"ABCF1",-0.148519005325378,6.47827499699949,52.9418867435147,3.7611031860973e-06,0.000307873160804822
"UGT1A6",-0.231098943792478,4.21962539515478,52.7594484128882,3.83559609537527e-06,0.000311891852898538
"CD3EAP",-0.207314332094537,4.79605847607781,52.7112500804896,3.8555566457789e-06,0.000311891852898538
"TFPI2",0.358857598631201,4.86052325644327,52.471895051119,3.95645505528516e-06,0.000318182280235565
"ARID3B",-0.22493566080765,4.10573111851291,52.4011008171673,3.9868730508241e-06,0.000318327998901371
"LTBP2",0.186195996866999,8.18559043324912,52.3560994345121,4.00634745517114e-06,0.000318327998901371
"RAPGEF3",0.452532488208077,2.43877127661158,52.3070205944854,4.02771028278349e-06,0.000318327998901371
"FNDC4",0.399007376007921,2.15625347052272,52.1743782264389,4.08609991410417e-06,0.000321097405821489
"ACVR2B",0.293438583702055,3.52745012249355,52.08287204831,4.1269445524494e-06,0.000322464440257296
"IER2",-0.242899977299847,6.76275094387679,51.993375135765,4.16734375202381e-06,0.000323781419648765
"ANTXR2",0.186409527952935,6.575587105713,51.5488921847402,4.37479531605788e-06,0.000337989804418135
"CD83",-0.362935143593051,2.44790988706795,51.3001857896027,4.49600473902699e-06,0.000345413727212844
"LTBP1",0.381689681086011,3.9385569785504,51.2416562193913,4.52508408913571e-06,0.000345716424409968
"HLA-B",-0.155367517111775,7.13367639348963,51.1569833879119,4.56753302312565e-06,0.000347031569801237
"CSF2",-0.709055140392391,2.00720401680125,51.0846419759551,4.60416020957287e-06,0.000347892369242011
"SH3KBP1",0.215070167906698,4.68418212675387,50.7969112191639,4.753197981637e-06,0.000354629057793622
"ZKSCAN1",0.136074930278635,6.7933274832699,50.7153984766677,4.79641546266362e-06,0.000354629057793622
"PTGES",-0.356782586992945,3.24121669359562,50.6581083197878,4.82705875793847e-06,0.000354629057793622
"SLC29A4",0.544031017957693,0.563687454661527,50.6437445095155,4.83477665674129e-06,0.000354629057793622
"ALOX15B",0.579568074788376,4.54166651284172,50.6369251718734,4.83844572370797e-06,0.000354629057793622
"MAP3K14",-0.355029043194729,4.09905555106003,50.6191188256097,4.84804122056435e-06,0.000354629057793622
"TRIM16L",-0.385535205182918,2.81377110593022,50.4789774753534,4.92432360836683e-06,0.000358303165408786
"FBN1",-0.259856547653999,3.68976782482809,50.1397739962977,5.11469954550787e-06,0.000370196569209601
"MPRIP",0.115976465959909,8.32402760702819,49.8780716386881,5.26732987457896e-06,0.000379247750969685
"LMF1",0.54206064979201,2.11194837317799,49.8022893073576,5.31249388869561e-06,0.000380507374777823
"SALL2",0.349291481894603,2.18503309443489,49.721877986386,5.36090073657564e-06,0.000381524129562796
"COL13A1",0.537908704677192,1.33280147059133,49.68679864173,5.38217576608366e-06,0.000381524129562796
"TK2",0.219329630891383,4.08281342715388,49.3662298877387,5.58112508606237e-06,0.000393598113761691
"FAM46B",-0.183588907153966,5.94426868986508,49.3157335588627,5.61322305509273e-06,0.000393842058436914
"LOC652276",-0.275225614887584,3.73842169373897,49.0911365733452,5.75856502481303e-06,0.000401988762544309
"THSD4",0.137539161837643,6.85613542251889,48.9785071485206,5.83306455834725e-06,0.000405132847507027
"GPX3",0.254224932198851,3.37462014254441,48.9095150440398,5.87924311926893e-06,0.000406288197870283
"TGFB2",-0.302429015456484,4.01818723826101,48.7556391609686,5.98374841534239e-06,0.000411442541038943
"PKN1",0.343901195010245,2.73441345566931,48.4075484041349,6.22807535326139e-06,0.000426111901781347
"NAPRT",0.20881967919091,5.49625020775652,48.3382925775254,6.27803381708194e-06,0.000427403569566885
"COBLL1",-0.144078097620887,5.41711343034679,48.071269766927,6.47498320182092e-06,0.000438640241337149
"LINC00341",0.610918730366352,1.46713029913344,47.9577238562113,6.5608622805928e-06,0.000442279304327021
"WWTR1",0.161412658743508,5.77700025226421,47.8747985150909,6.62440374971642e-06,0.000443010389769169
"DCBLD2",0.165267523138469,9.16952969086216,47.8595867479384,6.63613585605358e-06,0.000443010389769169
"LINC00704",0.372596975367834,2.62395871895774,47.8165324655108,6.66947034572619e-06,0.000443084812533462
"PEG3",0.409602713163783,2.31421615792591,47.7222108138976,6.74316854614122e-06,0.00044582718195449
"CCNI",0.100236953249457,7.88453415142511,47.641657588645,6.80684546107676e-06,0.000447079282740007
"MST1R",0.186695122317527,6.55792559945012,47.6161814256665,6.82712691793205e-06,0.000447079282740007
"NBEAL1",0.168866501197977,5.63174019967262,47.2736430411256,7.10663021809198e-06,0.00046108242952696
"EDN1",-0.448942658609983,5.10428522214925,47.2719798616329,7.10801883796651e-06,0.00046108242952696
"ARHGAP22",0.298840369994575,2.58243067040704,47.1929081760239,7.17439611513823e-06,0.000462479538576098
"MICALCL",0.183444215995867,5.2106042626027,47.1663884316797,7.19681655434009e-06,0.000462479538576098
"WDR66",0.146976999223223,4.68951622739035,47.0556011465237,7.29134793977978e-06,0.000466374962176054
"SH3RF2",-0.132141245625359,6.00539912096394,47.0147798033426,7.32653631903234e-06,0.000466456145645059
"MARCH9",0.185739124547479,4.32415039502056,46.8500941065876,7.47047941871603e-06,0.000473428723346465
"GBP1",-0.393610809436589,4.14513146664406,46.7368497253115,7.57133401086712e-06,0.000477619198703874
"H6PD",0.492666969182557,5.0453106766257,46.5693210438184,7.72339783483018e-06,0.000484987064039199
"APLN",0.482238804579093,2.04687360423232,46.2678195369527,8.00593689886657e-06,0.000500443837423696
"RBMS2",0.131645717191828,7.64785840406319,46.2241420150857,8.04783801155457e-06,0.000500786734547052
"USB1",-0.140325269602539,5.73575094948422,46.1336749272208,8.13542453057889e-06,0.000502377734686778
"MARVELD1",0.323420992787174,6.18675372564588,46.1223467266635,8.1464685016835e-06,0.000502377734686778
"POU2F2",0.157674057653924,5.5941026614367,46.0640137954278,8.20360952989599e-06,0.000503643027924686
"TXNRD1",-0.203232321321357,6.64319671852454,45.8066592342949,8.46122994272212e-06,0.000517150374099176
"TRIM65",0.236791796580445,4.35563426293488,45.6027319918121,8.67193775878579e-06,0.000527683575481514
"LY6K",0.23771274748351,3.7077246184402,45.3967015234406,8.89092437660714e-06,0.000538625515537891
"MROH6",0.25053413659424,5.62317313094424,45.2139522115098,9.09046178961617e-06,0.000546963381881705
"DHTKD1",0.153024203383259,5.76965537146953,45.1980171635699,9.10810169072937e-06,0.000546963381881705
"PITPNC1",0.170820917114541,5.7755784950018,44.7717046955335,9.59485194560729e-06,0.000572091892520564
"TMEM200A",0.409546783719742,5.29498084852854,44.7590517448161,9.6097460131072e-06,0.000572091892520564
"DGKA",0.133058879433688,6.91538745064882,44.6663524949012,9.71967299494679e-06,0.000576141995803915
"TMPPE",-0.291876675583074,3.85568535389829,44.5385429494567,9.87359777535824e-06,0.000582754148526723
"MAT2A",-0.137810373638558,7.36980596734191,44.495164246877,9.92647117920083e-06,0.000583371075454572
"TRIM56",-0.207540691419234,5.56804354471755,44.2620191214738,1.02162447370574e-05,0.000597845947336225
"TEF",0.207628913135221,4.18720797522519,43.7900408581665,1.08329319102789e-05,0.000628491407405738
"TNFSF15",0.297786025130736,2.83607223696835,43.7695095680716,1.08607075480101e-05,0.000628491407405738
"IKBKE",-0.25783185391083,3.4204938618253,43.7574701708314,1.08770327925077e-05,0.000628491407405738
"BIRC3",-0.415942708378412,3.7051333245835,43.5472151342526,1.11667017431222e-05,0.000642529214943165
"PLBD1",-0.301653178233994,2.17351618172931,43.3837286394614,1.13980318147301e-05,0.000651552387193621
"MID1",-0.163166644237049,5.00009602191942,43.3388045580789,1.14625534626503e-05,0.000651552387193621
"DAPK3",-0.228406029118803,5.77094606471668,43.3366528447528,1.14656542830756e-05,0.000651552387193621
"APPL2",0.232014760539569,4.63248485492607,43.2565969861888,1.15817058326419e-05,0.000655438759713958
"TET3",-0.137049731663221,5.74644687031377,43.2056077768469,1.16563204473938e-05,0.000656638236822885
"EIF4EBP1",0.159517146070767,5.98742648333787,43.1770174616967,1.16983979073303e-05,0.000656638236822885
"ZKSCAN2",0.201002849343784,3.46039168466686,43.1383288352319,1.17556138472401e-05,0.000657167486289618
"SSH1",0.126070980745065,7.13441498037358,42.9629567647706,1.20190077054603e-05,0.000669171635487814
"PRSS23",-0.126477751742394,6.6839225678353,42.9102794800373,1.20994358028036e-05,0.000670933230484496
"B4GALT1",-0.175651202118776,7.30528393436167,42.4656334556129,1.28033637383075e-05,0.000707115896101224
"KRTAP2-3",-0.344991366459121,2.94423234936349,42.3686293034265,1.29630780199151e-05,0.00071307299571949
"MGAM",-0.646408233185696,0.0656600875709258,42.1573420610031,1.3318892893764e-05,0.000729726753287022
"MAP1B",0.250286628827613,5.88423904125961,42.0907988502494,1.34332534095177e-05,0.000733071828919396
"PC",0.169477835651284,5.4636966786246,42.0117130002157,1.35706304056758e-05,0.000737641538888748
"DANCR",-0.17758257189323,4.38410196011108,41.9079868349697,1.37532475744731e-05,0.00074462464820533
"ELMSAN1",-0.223858919551434,7.05936122167803,41.8628456348693,1.38335968892809e-05,0.000746037742828983
"LOC642852",-0.293506893923385,3.94330433805417,41.7908041637082,1.39629402722605e-05,0.000750071697750492
"DDIT3",0.272797925721053,2.86703607239462,41.601725837867,1.43090312671254e-05,0.000765672365702366
"SPSB1",-0.252752057018634,4.08778383597347,41.455774903437,1.45828870455985e-05,0.000777301793221205
"DBNDD2",-0.178085395459421,4.42383993500418,41.3447816163563,1.47951588711793e-05,0.000785571524310648
"LINC01468",0.503655390562959,2.12341400993789,41.2471138525254,1.49848678851833e-05,0.000792584242911695
"RSAD2",-0.410183659429367,2.49163089257388,41.2031392518425,1.50711894718564e-05,0.00079409577631023
"KCNG1",0.332470983845567,4.45419893689492,41.04707716474,1.53821530429634e-05,0.000807386903232187
"G6PD",-0.225894188744856,6.3630484868652,40.7204173399932,1.60570592325378e-05,0.000839607142835971
"PTPRS",0.320010125928095,4.44440478455161,40.5281199352056,1.64701490613414e-05,0.000857945037468058
"B4GALT6",0.381197067583239,3.03196051922354,40.4341649168283,1.66763856680435e-05,0.000865410021535599
