"","logFC","logCPM","F","PValue","FDR"
"PHLDB1",-0.024222945074954,5.82052116683077,0.601537226653251,0.450745793614099,0.606355037829787
"GJB5",0.0319342584201677,5.68965543334662,0.601415604767042,0.450790638565876,0.606355037829787
"ZKSCAN5",-0.0209232170526109,3.99805186243552,0.60139817705507,0.450797065188607,0.606355037829787
"IL10RB",0.0317781259367231,3.80618284425245,0.60028349184887,0.451208428409,0.606849146666168
"TLE2",0.0989635860673468,0.124020091340982,0.599655871299324,0.451440317160531,0.607101799911455
"LINC00896",0.096372706979646,-0.153987358855493,0.598039483655779,0.452038432440088,0.607791562224971
"ZBTB37",-0.0420843989407272,2.43789617093039,0.598031492816288,0.452041392547679,0.607791562224971
"BEND7",0.0494638546483272,1.25904166092566,0.610893875747165,0.452186068691515,0.607876372841802
"EXOSC8",-0.0271426394728811,4.36701236922846,0.597622715244905,0.452192861743037,0.607876372841802
"PSMA3-AS1",-0.0476778893168995,3.80817031780534,0.597504336630018,0.452236741585433,0.607876372841802
"USP47",-0.0271996284441002,5.97348064379512,0.59733270749053,0.452300372457525,0.607878987009379
"LOC643072",-0.0711760015373509,0.703222309578108,0.597261254069926,0.452326867899414,0.607878987009379
"LINC01420",-0.037252807915699,3.56753043559255,0.595833063782586,0.452856988125422,0.608480543646511
"LOC101929595",-0.0961059014693614,1.32098520651998,0.595817531702257,0.45286275900173,0.608480543646511
"EXOSC1",0.0254986504910542,3.66749509644233,0.595354878288841,0.453034711470604,0.608606418365487
"KBTBD7",0.0338868919637954,2.44786475217083,0.595327935535374,0.453044728489519,0.608606418365487
"ANXA2",0.0262445391161324,11.2258850935824,0.594980019788722,0.453174112556754,0.60872091677903
"MKRN2",-0.0232760976331879,4.76499327089434,0.594822409695922,0.453232745185765,0.608740366086327
"FRAT2",-0.0303318348886384,3.20687527549219,0.59400421651137,0.453537322995066,0.609074787360628
"MYL12B",-0.0148849933822054,7.82975981182102,0.593916245762198,0.453570090797967,0.609074787360628
"NACAD",0.0424660587489643,3.59679187390223,0.593576861000476,0.453696543230016,0.609185259204541
"KLHDC3",-0.028722256264688,5.12710945240631,0.593187376945635,0.453841734054318,0.609290839446842
"CD99L2",0.0389289661882503,4.03184097751141,0.593128841407884,0.453863561407055,0.609290839446842
"PACS1",0.0277069339337256,6.23908192241705,0.592990040680815,0.453915325825188,0.609301002546186
"PTOV1-AS2",-0.0609961487587278,1.80551219190913,0.592274769607368,0.454182234069775,0.609599928068534
"ARL5A",-0.0641330004529794,4.94330189999826,0.591823966519974,0.45435058752292,0.609766528782099
"MARCH1",-0.0851203847761669,2.70547071877396,0.590647811076448,0.45479031139126,0.610297257460706
"EIF2B5-AS1",0.0535623441530038,1.60406419819304,0.589974350422404,0.455042411947394,0.610576129782844
"ULBP3",-0.029820213599311,3.883273224386,0.58963446848739,0.45516972976235,0.610687530579361
"NUP62CL",0.0876956376872272,0.238605248198387,0.589183645256328,0.455338696504069,0.610809095433887
"NEK1",-0.0298558373464622,4.30558705036665,0.58915631418881,0.455348943415499,0.610809095433887
"CEBPA",-0.172530515141759,3.74408969946887,0.589007546574097,0.45540472577686,0.610824492098995
"UBQLN4",-0.0221621969230975,5.86086520167447,0.58837954220559,0.455640328921556,0.611081052027383
"KHDC1",0.0528264861601437,1.54439129203518,0.588197082000449,0.455708818821365,0.611113460275281
