"","logFC","logCPM","F","PValue","FDR"
"ARTN",-0.162577282167067,5.3235658538446,40.2229753081484,1.6069084141815e-05,0.000191797886410001
"ANXA5",-0.118168903906985,7.60718978948452,40.2186054865219,1.60785304281998e-05,0.000191797886410001
"TNFSF9",-0.18581035690241,4.61713377921243,40.1328758519128,1.62651393402457e-05,0.000193855632969346
"ALDH7A1",-0.192273338045295,6.31277467026717,40.0310243942982,1.64900578295416e-05,0.000196366009266517
"UBE2H",-0.119240375584122,6.71736579018681,40.0151839548488,1.65253558593222e-05,0.000196615965557407
"SLC16A9",-0.224127319153792,3.82672424973734,40.0017075146158,1.65554538900167e-05,0.000196803674183918
"PLOD2",-0.230811673282942,4.55133118645964,39.9909333973343,1.65795615549685e-05,0.00019691990915158
"NARS",-0.156248184733066,7.17265468611319,39.9796509635374,1.66048495071616e-05,0.000197049949850963
"TMEM123",-0.186275319054398,7.18456930547018,39.8957036685404,1.67943919562618e-05,0.000199127294446031
"TPI1",0.135396796612729,8.26270281991991,39.8555329829694,1.68859639454686e-05,0.000200040445291922
"FAM13B",0.160943256549707,4.6524135050757,39.8163186286455,1.69759052765118e-05,0.000200922409776309
"RRP7A",0.125315485367855,6.5424683954338,39.8103445965947,1.69896550836902e-05,0.000200922409776309
"C11orf68",-0.225364672475557,4.64117896513089,39.7981090116009,1.70178560998933e-05,0.00020108287061456
"AEN",0.119087058024604,5.98781060372305,39.7617167731441,1.71020501240298e-05,0.000201904100347438
"ALDH1B1",-0.148340526786538,5.24416799437661,39.7136761740702,1.72139209068433e-05,0.000203050387211881
"HARS",0.126646791426098,5.91920224937776,39.6973829342303,1.72520517669915e-05,0.000203325639264148
"TJP2",-0.148615494890002,7.82761124376762,39.6494892933908,1.73646952983282e-05,0.000204477843007391
"TMEM41A",0.213185712935633,4.56115379622809,39.5966012817697,1.74900605870976e-05,0.000205646243729209
"GALK1",0.522945136366196,1.58145581349003,39.5950102207297,1.74938479784198e-05,0.000205646243729209
"MYO1C",-0.150574927205245,8.16990900438967,39.57545786695,1.75404671823755e-05,0.000206018034205303
"SRSF3",0.139293554276553,7.58761722714402,39.5197436230943,1.76740867739874e-05,0.000207410162637177
"EDEM3",-0.177575958125281,5.55831553408708,39.4732883006475,1.77863882131306e-05,0.000208544497501197
"ORC1",0.163733695677797,4.36387577308976,39.4672279253151,1.78010984986832e-05,0.000208544497501197
"FZD8",-0.329129143509892,3.50983077598516,39.4353174409046,1.78787836119201e-05,0.000209276187729988
"ZKSCAN1",-0.127911625496608,6.7933274832699,39.392562321767,1.798347618475e-05,0.000210322493387945
"C1orf112",0.192117425356711,3.84124174943516,39.29225756669,1.82318423123665e-05,0.000212883648985134
"EIF2S2",-0.141472100235021,7.20630468147823,39.2916138105886,1.82334489052178e-05,0.000212883648985134
"TNKS",-0.143570091470535,5.90494622621256,39.2850367192513,1.82498723035033e-05,0.00021289452053883
"IFNAR2",-0.264797340674766,3.68222175316686,39.2740105887508,1.82774430692298e-05,0.000213035303356537
"CHTF18",0.160670227005513,5.20614753324473,39.2105800167978,1.84369760359371e-05,0.000214712648038854
"TSEN34",0.119723847357425,5.64824636078408,39.1990556200898,1.84661308973409e-05,0.000214870085343995
"DYNC1H1",-0.192774456914617,9.93545741781582,39.1710760225038,1.85371337020234e-05,0.000215513782853812
"MACF1",-0.124129507026343,9.48858086821422,39.1474180105987,1.85974126614265e-05,0.000216031821465192
"PLAC4",-0.185887120641294,5.22946104990868,39.1365465147762,1.86251873798019e-05,0.000216171727173343
"NID2",-0.454575958526456,2.1070007453686,39.0751651361186,1.87828957503994e-05,0.000217818188524885
"RPUSD2",0.211647233379115,3.74336010681832,39.0510217335352,1.88453445728067e-05,0.000218358115615101
"BAMBI",-0.317967900486819,2.35063683358212,39.0284254725016,1.89040060857364e-05,0.000218765619728122
"TNFSF10",0.649398623435435,2.45970897442343,39.0252167229143,1.89123530954016e-05,0.000218765619728122
"DDX60",0.26656735684846,6.76391591370369,39.0090718486476,1.8954415008308e-05,0.000219067763704094
